text_bem,text_en,score
"Nomba mu ci Latin muli ifilembo twitatu a, b, c, d, e, f, g, h, i, k, l, m, o, q, r, s, t, u, x, y, z.","Now, in Latin there are twenty-three letters: a, b, c, d, e, f, g, h, i, k, l, m, n, o, p, q, r, s, t, u, x, y, z.",0.8698402090984286
"Takuli uuli onse uulebalula, lelo kumuntu uwalenga butatu kuli uwakubyala, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balenwa, bambi balen","No one says ""I am plowed"", but in the third person it is ""the land is plowed""; bibo ""I drink"", bibitur uinum ""the wine is drunk""; manduco ""I eat"", manducatur panis ""the bread is eaten""; laboro ""I work"", laboratur uestis ""the clothing is worn out"", et cetera.",0.9130145902385948
Alenwa ubwalwa.,He drank beer.,0.8544061328742018
Abakashi bami baleya kumaliketi.,My wife is going to the market.,0.7985445789079317
Twaciba mu musumba wa St. Louis pakuya ku musumba wa Nouvelle Orléans.,We went through St. Louis on the way to New Orleans.,0.7881276271860721
Bushe finshi fyacitika panuma yakupwisha ukucimfya?,"After that, what happened?",0.7901964979933525
lelo bushiku bwa sondo.,It's Sunday today.,0.8247896019392819
Bushe wali ku shopu wa fyakulya?,Did you go to the store?,0.7804503847318469
Bushe naulufya inkomaki ya ng'anda yobe?,Have you lost the key of your house?,0.7906531995500717
Tuleyangalila isukulu lya masambililo ayakalamba ilya Mouloud Mammeri mu musumba wa Tizi Ouzou.,We go to Mouloud Mammeri University in Tizi Ouzou.,0.7917864632153737
Bushe wali kusukulu lelo?,Did you go to school today?,0.7778506785375244
Uku ali namayo nikucisankano.,She's at the market.,0.7737011476160627
Nshacishiba ukuti alilwala ubulwele.,I didn't know she was ill.,0.8311135578521189
"Lilangi nshi watemwisha sana, Ilya makumbi makumbi nangula Ilya kashika?","Which color do you like more, blue or red?",0.7830132504709552
Bamo pali aba bantu niba kafundisha elyo bambi nibakanyekanye.,"Some of them are teachers, and some are engineers.",0.776977610737319
Damasiko musumba uwayemba nganshi.,Damascus is a beautiful city.,0.7889049944634988
Aya kusukulu lya masambililo ayakalamba ilya Mouloud Mammeri mu musumba wa Tizi Ouzou.,She goes to Mouloud Mammeri University in Tizi Ouzou.,0.7785754690811896
Bushe ba wishi kwena balifwa?,Did my father really die?,0.774402085028884
Alembela mu ci-Arab.,He writes in Arabic.,0.8069826333465091
Bushe balikwata ifyakulya pa ng'anda?,Do you have food at home?,0.8262003596197167
Ndeya ku sukulu likalamba ilya mould Mammeri mu musumba wa Tizi Ouzou.,I go to Mouloud Mammeri University in Tizi Ouzou.,0.7991119220009807
Nabika ukuboko kwakwe pakubeya kwakwe.,He felt her hand on his shoulder.,0.7984382424673869
Bali ku citunshi tunshi mailo bushiku.,They went to the movies last night.,0.8123329002856655
Kafundisha umusuma afwile aba uwatekanya na abana alesambilisha.,A good teacher must be patient with his students.,0.77975204810903
Limbi taleisa,Maybe she won't come.,0.7810857715072376
Bushe finshi waciita ulucelo lwa lelo?,What did you do this morning?,0.8220833715458012
Awe kanshi naciwama nganshi.,"Good, thanks.",0.7750073138093229
Bushe alelila?,Is she crying?,0.7994785487628963
Bushe naumona ubusuma bwa lucelo celo?,Do you see the beauty of this morning?,0.8543018416161225
"Muhammad peace be upon him, alifyalilwa mu musumba wa Mecca.","Muhammad, peace be upon him, was born in Mecca.",0.8643017457643972
Mweshi wafumineko nacisula icikulwa icikulu icakuyamukilapo kucipatala.,I had a grand opening for the hospital last month.,0.7950303374285774
Bushe nawishiba ifyakuwamya ici icitunshi tunshi?,Do you know how to fix this TV?,0.9003970614195664
Bushe ici icitabo wacishita?,Did you buy this book?,0.8099828612580119
Bushe nawishiba ifyo ciba ilyo umwaume alepela umwanakashi inindaminwe?,Do you know what it means when a man presents a ring to a woman?,0.830406576661412
Balenwa amenshi.,They drank the water.,0.8637392281547659
Bushe icitabo cobe baciba kwisa kabili ninshi?,Your book was stolen?! Where and when?,0.7969102507147886
Bushe kuti waumfwikisha ululimi ulu?,Can you understand this language?,0.833493890918552
Munshita ishashayanguka kulaba ukwishiba abanabo nibani.,"In hard times, you find out who your friends are.",0.7952995321504691
balefwaya amenshi,They want water.,0.8050934873117519
Uku kwine kwaciba ukwatalala ukufuma mu mwenshi wa March ukufika mu mwenshi wa March.,It was cold here through March.,0.797918591114382
Abana besu bacili baleya kusukulu.,Our children still go to school.,0.8012430807278534
Iyi inkalata yafumine kuli Sami.,This letter is from Sami.,0.7728910570501653
Bushe finshi ulefwaya ukulya?,What do you want to eat?,0.8721303239140151
Bushe alikwisa umulumendo?,Where is the boy?,0.8034353879793951
Bushe umutengo wabulendo bulemoneka Shani?,How much does the trip cost?,0.8566589445766645
Ilyo Ahmad ali umulumendo alishibe ukunina ifimuti ifitali.,"When Ahmad was a boy, he could climb tall trees.",0.850717346053962
Bushe nauipekanya?,Are you ready?,0.8109128208107651
Mary nakwata motoka.,Mary has a car.,0.8680275630461853
Motoka yakwe yacibutukila mu cimuti.,His car ran into a tree.,0.7718118875224136
"Bushe ulemoneka shani, namayo Jones?","How are you, Mrs. Jones?",0.8083880605775258
Ku Kyoto kuli amasukulu yakalamba nangula amasukulu yakalamba.,There are numerous universities in Kyoto.,0.7972695114113244
Bushe nabakwata golide?,Do they have gold?,0.8057817274128847
"ukutampila mu 1990, bakasukulu ikumi na umo balipokelela icilambu","Since 1990, eleven female students received the award.",0.8485145120084535
Namwipaya bakapokola cinelubali.,You killed seven policewomen.,0.7811551202539769
Bushe ninani wishibe iyi incende?,Who knows this place?,0.8114079137930161
Aletamba icitunshitunshi mailo bushiku.,He watched TV last night.,0.9049384109537318
Iyo nakalya.,Never.,0.77766079676658
"Apa ndelanda nipali ici icilembelo, temuli cilya icilemoneka pe tebulo.","I'm talking about this pen, not that one over there on the desk.",0.7719858466348236
Fatima mukalamba mwikalashi lyesu.,Fatima is the eldest student in our class.,0.8044385710740589
Kafundisha ali na bakafundisha bakalamba aba isukulu ilikalamba.,The teacher is with the school principal.,0.7983694412816791
Ninshi imwe bakashana mulasambilila pa sukulu lya masambililo ayakalamba ilya Mouloud Mammeri mu musumba wa Tizi Ouzou?,Do you girls go to Mouloud Mammeri University in Tizi Ouzou?,0.7786218539737705
Bushe kuti wandibelengelako aka pepala?,Can you read this document for me?,0.7728658813545444
Bushe efili fyonse ifi?,Is this all?,0.7802281162596466
Bushe ni nshiku shinga isho umuntu afwile ukuyapo?,How many days do you usually need to get there?,0.7735532210470911
Ing'anda ya Sami ikulu.,Sami's house is big.,0.7815435777182936
Awe kwena icalo nacibe aware of the hoaxes and denounce the malicious intentions of the drug mafia in the spread of the coronavirus.,The world community must be aware of the hoax and denounce the malicious intentions of the drug mafia in the spread of the coronavirus.,0.7889435185068799
"kucalo ca USA, abantu balanda icisungu.","In the USA, the people speak English.",0.8011117694531037
Namona Sami kucibansa ca ndeke.,I saw Sami at the airport.,0.8805404137570715
Bushe mulimonshi mubomba?,What's your field of work?,0.8596999224735525
Namwipaya bakapokola cine lubali.,He killed seven policemen.,0.8476348045555187
Ine nshifuma ku Saudi Arabia.,I'm not from Saudi Arabia.,0.7729078259465479
Bushe ilaya lilemoneka kwati lyaligula Shani?,How much does the shirt cost?,0.7854201720579113
Bushe aletamba icitunshitunshi?,Does he watch TV?,0.8134274179947224
Mwilasakamana iyoo.,Never worry.,0.776332921597999
Bushe nibanani abale knocking at the door?,Who is knocking on the door?,0.7757645265618263
Bilal muntu wasoma.,Bilal is educated.,0.819870893199624
Bushe nibanani abali mu ng'anda?,Who is in the house?,0.8371647658485446
Bushe waliya ku Cairo nangu ale Alexandria?,Did you go to Cairo or Alexandria?,0.8539037499293771
Nasendele ifitabo fitatu.,I carried three books.,0.7705631427335224
Naya mukutandalila abanandi abekala mu musumba wa Tangiers.,I was visiting some friends in Tangiers.,0.792439675388419
Ala ulunga lwacalo ca Algeria lulemoneka bwino!,How beautiful Algeria's flag is!,0.7810857715072376
Ine nshifuma ku bwami bwa Saudi Arabia.,I'm not from the Kingdom of Saudi Arabia.,0.7899071723733498
Kate nakwata impepo.,Kate had a cold.,0.7801328793825895
Abantu abengi bafwile muli ubu ubusanso.,Many people died in this accident.,0.7793541103752651
Umwaka waba nemyeshi ikumi na fibili.,There are twelve months in a year.,0.8170876290056478
"Musange uyo mwitile nawisula nangula naufumina, mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mwati mw",The mobile phone you have dialed is either switched off or outside the coverage area. Please try again later.,0.8985853426919762
Bushe ici cilepilibulo nshi mu ci-Arab?,What does this mean in Arabic?,0.8792853204642123
Bushe umusumba wa kucalo ca United States of America ulemoneka Shani?,What's the capital of the United States?,0.8305597688115005
Mary ali mu calo ca Hungary.,Mary was in Hungary.,0.783887645379622
Bushe cinshi calengele ushininkishe ifyo?,What led you to believe that?,0.8564597793483
Sami acilafwaya ukwikala ubumi ubusuma.,Sami wanted to live a good life.,0.9011202307422774
Bandume yandi Mazigh balichishanya nomukashi wabo Arinas.,My brother Mazigh divorced his wife Arinas.,0.8327255077555599
Bushe ni nshita nshi wafika pa ng'anda pa mwakwikala?,At what time did you arrive at your home?,0.7759427990390321
"Kucaalo ca America, abantu balanda icingeleshi.","In America, the people speak English.",0.7884621325199238
Bushe nibanani abale knocking?,Who is knocking?,0.90069387339869
Iciibi camwitempele cili icaisuka.,The mosque's door is open.,0.8352593397166453
Sami ali upana na layla.,Sami married Layla.,0.8038365062150594
Caliwama ukwibukisha abanenu nibani.,It is important to remember who your friends are.,0.783887645379622
Bushe nibanani babumbile akasuba?,Who made the sun?,0.836410447271033
Bushe ni nsukulu nshi bafumishepo?,Which student went out?,0.7729916989229185
Nga waishiba shani?,How do you know this?,0.7939396928227577
"Hud, peace be upon him, aali umo pa bakasesema ba kwa Lesa.","Hud, peace be upon him, was one of God's prophets.",0.7748081738138042
awe kanshi kuti natemwa ukumona amakwebo yobe eyo aleshitisha.,I would like to see your products.,0.7740828300794652
Bushe ninshi ulefwaya mune?,"What is it you want, brother?",0.7859636561927539
Ukulipila mwitumba lyabanankwe kwalianguka.,Paying from other's pocket is easy.,0.7840918062542711
"Iyoo, naumfwa ati mukalale wandi muli abantu babili abafwile kubulwele bwa coronavirus.","Yesterday, I heard about two fatalities in my town due to a coronavirus.",0.7872817957954434
Bushe icimbaya mbaya cakwa wiso camusangonshi?,Which car's your dad's?,0.8000773495588448
Icitabo cakwe cipya calafuma uyu mwenshi uleisa.,Her new novel will be out next month.,0.8446581901258438
Bushe ici cilepilibulo nshi mu ci-Arab?,What does that mean in Arabic?,0.849352277022961
Bushe nawishiba nga eshile mukusefya?,Do you know if he's coming to the party?,0.800911196889502
Kapushi nakaculuka umusebo.,The cat crossed the road.,0.7843517221473443
Bushe finshi watemwa ukulya?,What do you like to eat?,0.776370820149351
Aleipusha ba wishi,She asked about her father.,0.8035225736890608
Baletamba ifilecitika mukupalamisha.,They are watching what's happening closely.,0.8292990242389447
Bushe naumona?,Do you see that?,0.7954548887430258
Naipaya bakapokola ba cine lubali.,I killed seven policewomen.,0.7711068139791435
bushe kuti watemwa ukushitisha icimbayambaya cobe ici?,Would you like to sell your car?,0.791065110850296
Bushe cinama nshi watemwisha?,What is your favourite animal?,0.8091922484742952
Kuti twalomba w fill in the attached job application form.,Please fill out the attached job application form.,0.8514561337621459
Bushe icitundu nicinshi?,What is culture?,0.790035752381268
Ine na Tom tatupepa na fwaka iyo.,Tom and I do not smoke cigarettes.,0.7739759335553447
Umwaice umwaume alebelenga icitabo.,The young boy is reading his book.,0.7743671673184843
Alifi lilembo lya kubalilapo mufilembo fya ci-Arab.,Aliph is the first letter of the Arabic alphabet.,0.7831075086860636
Bushe muli abantu banga mwituuka?,How many people are there in the store?,0.7992964054046179
Ndesubila alabwela nombaline.,I'm sure she will return soon.,0.7746633600760503
Ukubelenga ciibi ca kucalo cimbi.,Reading is a door to another world.,0.9107155750335746
Bushe pabusanshi nshi wingatemwa ukulalapo?,On which bed would you like to sleep?,0.8589326838739972
Naciya pacitesheni ce shitima.,I got to the train station.,0.8110118152342288
Nanyanta ishitima ilibutwike ukufuma ku Tangiers ukuya ku Rabat.,I took the high-speed train from Tangiers to Rabat.,0.8394257891676759
Umunandi alikufwa uyu mulungu wafumineko.,My friend died last week.,0.8120873934819132
Iciibi nacisuka.,The door is open.,0.7940643145580876
Alembele ifitabo fitatu.,She wrote three books.,0.8216854899654349
Bushe nakwata umupila?,Does he have a ball?,0.7844300690579529
Bushe uletontonkanyapo shani pa kulanda kwa bakateka?,What do you think about the president's speech?,0.7702645922650261
Nainaka ukulabelenga ubushiku bonse.,I'm tired from studying all night.,0.8107742465016415
Mung'anda yandi mwaliba umukate uwingi nga ulefwaya ukulya.,"In my house there is plenty of bread, if you want to eat.",0.7974425540248148
Awe kwena teti nkwanishe ukuya ku ng'anda yobe pantu bamayo balinjeba tukashiteko ifyakufwala mailo.,I won't be able to go to your house because my mother invited me to buy clothes tomorrow.,0.7710440560396902
Nga nalima umushili wandi nga naikwata ifisabo ifyalekana lekana.,If I had worked my land I would have various fruits.,0.8251700505669087
Shitata wesabi aleloba isabi.,The kingfisher is catching fish.,0.7958433892914677
"mumbali yamusumba uyu, vada pav na pav bhaji, ebalumbikwa saana.",Mumbai's vada pav and pav bhaji are very famous.,0.7790653648001262
I linso lyalicindamisha ukucila ulufumo.,The eye is more important than the stomach.,0.7889287058660144
Nomba bushe finshi ifyo itufunda pali Lesa?,Now what does that tell us about God?,0.7721114979285193
Kale sana Lesa asala abantu ukuti balembelepo ifyo aletontonkanya.,Long ago God picked certain humans to write down his thoughts.,0.8070877264744045
"Filyafine abafyashi ababuuta inkanda nabatemwana bafunda abana babo, eico lesa ena alasambilisha abantu monse umwakwikala bwino.","Just as a wise and loving father instructs his children, so God teaches people everywhere the best way to live.",0.774695728399879
Isabi ilikulu ilya kashikila lilesamba mumenshi.,A large red fish swims in the water.,0.7761686696557105
Alemona ifinama ifingi mu musebo.,She saw many animals in the street.,0.784015233854441
Tom tasumina ukuti Mary ali pang'anda.,Tom does not believe that Mary is home.,0.8283547311190548
Bushe ibumba lya baume nabanakashi abakwata inkanda iya buuta baipekanya Shani pa mulungu?,How many times a week does the football team practice?,0.8087304058407265
Bushe icitabo cakwe cili kwisa? Pe tebulo.,"""Where is his book?"" ""On the table.""",0.79810842427229
Ing'ombe shilebutuka,Cows moo.,0.8091220142309146
"Nga taulishibe, ipusheni.","If you do not understand, ask.",0.8427575216878688
Bushe muputule nshi wingawamishapo kubala?,Which room should I clean first?,0.7824364666357579
Ing'anda yandi ikulu saana.,My house is a big house.,0.7730145749505897
Bushe naulya ifyakulya?,Have you eaten food?,0.8070614489028762
Bushe ni kwisa baile na ibumba lyakwe?,Where did Tom and his group go?,0.8163211479634408
Bushe naya kwisa?,Where did I go?,0.8045695044941401
Yana ekala mu musumba wa London.,Yana lives in London.,0.7786486791147247
Yana alefwaya ukukumona.,Yana wants to see you.,0.8963942066351503
Twaleyangalila mumbali ya Thames.,We played on the banks of the Thames.,0.85841358154002
Fadil alemona kwati alitemwana na icaalo ca Denmark.,Fadil thought he was in love with Denmark.,0.8151805120198579
68.4% yabantu ababuuta inkanda responded that under no circumstances would choose a version of a book in the language of Belarus.,68.4% of Belarusians surveyed answered they would under no conditions choose a version of a book in the Belarusian language.,0.7752422229774908
Tom teshibe ubupusano pali Putin na Stalin.,Tom doesn't know the difference between Putin and Stalin.,0.7704216480383649
Ibumba lya malaiti (Bangladeshi Fertilizer Association) nalisekela icipusho ca buteko.,"Meanwhile, Bangladesh Fertilizer Association has welcomed this decision of the government.",0.7701901965195316
Ibumba lya bangladeshi bank nalikolonganika ama shina yabo.,The Bangladesh Bank team collected their names.,0.8307513018360597
Iyi ng'anda ya Tahmid.,This is Tahmid's house.,0.8372465292026303
Hazrat Muhammad passed away at the age of 63.,Hazrat Muhammad (pbuh) passed away at the age of 63.,0.7930881438176753
Icalo ca Bangladesh caba ku ncende ya ku kapinda ka ku kulyo.,Bangladesh is located in South East Asia.,0.7739148564551598
Kanshi kufyalo fimbi ukubikako na Bangladesh na Nepal kuti bacita ifyo fine.,"Therefore, other countries including Bangladesh and Nepal can do that.",0.8110743455267371
Bushe Tahmid ninani?,Who is Tahmid?,0.8408518080509053
Ibumba lyesu ilya ku Bangladesh tabalifye abanono.,Our team from Bangladesh is not small.,0.7791050569089859
Bangladesh's exports to the USA have increased despite the suspension of GSP facilities.,"Despite the suspension of GSP facilities, Bangladesh's exports to the US have increased.",0.7841793233872449
alefwaya ukushana,He wants to dance.,0.8289481573176521
Kateya wamupila wakuminwe Taskin Ahmed uwa kucalo ca Bangladesh taliko kubwinga bulya bushiku.,Bangladesh national cricket team cricketer Taskin Ahmed was not present at the event that day.,0.8361358967979275
"pa meeting of the Electoral System Reform Commission, pali ifyalekanalekana, including making local government elections nonpartisan, holding local government elections before national parliamentary elections, holding all local government elections on the same day, and holding all elections, including the presidential election, by direct vote.","Various suggestions have emerged at the meeting of the Election System Reform Commission, including making local government elections non-partisan, holding local government elections before the national parliamentary elections, holding all local government elections on the same day, and holding all elections, including the presidential election, by direct vote.",0.8504721384198505
Lelo amakwebo ya ku Bangladesh yacipona umwaka wafumineko.,"However, Bangladesh's trade decreased in the previous year.",0.8158012239354285
Ifimbayambaya ifya ku India tafile ingila mu Bangladesh.,Cargo trucks from India are not entering Bangladesh.,0.7725514730693908
Ishina lyandi ni Tahmid.,My name is Tahmid.,0.8465368311261264
Abafyashi babo nibacilolo na babomfi ba Bangladesh Bank.,Their parents are officers and employees of Bangladesh Bank.,0.8521215963176395
Icimwela cenu na ukuipelesha kwenu ekuti Brac Bank ifike apa apo iminine lelo.,Your trust and dedication have been instrumental in positioning Brac Bank where it stands today.,0.7872119031397422
Ibumba lya basungu ababombela ku calo ca Poland nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo line nalyo,The Bangladesh Embassy in Poland has arranged accommodation for Bangladeshis who left Ukraine and reached the country amid the ongoing war situation.,0.8584834379945899
"Earlier, twalebilisha ukuti abashilika ba kwa Israeli nabekata abantu basano mu musumba wa Jenin.","Earlier, we reported that the Israeli military had arrested five people in Jenin.",0.8660317469956145
OLX yatampila ubulendo bwaiko ku Bangladesh mu August wa kale.,OLX started its journey in Bangladesh last August.,0.7734111772986555
Ukushitisha amakwebo ku Bangladesh kwayanguka ukucila nakonshita.,Doing business in Bangladesh has become a little easier than before.,0.8075432400703897
Ishina lyakwe ni Tahmid.,His name is Tahmid.,0.8553453273074225
Afyelwe mu musumba wa Rajshahi.,He was born in Rajshahi.,0.8575756962170793
Ninshi bambi abakushita tabalamoneka kwati balefwaya ukwisa ku Bangladesh.,Then other buyers will not want to come to Bangladesh.,0.8048452392440992
Nilufar Yasmin abomba mu bungwe beta ati Bangladesh Atomic Energy Commission.,Nilufar Yasmin works in Bangladesh Atomic Energy Commission.,0.8303084193446083
Bushe ubutanda ni cinshi?,What is Finance?,0.818071396778866
"Though Zoad mu Bangladeshi, he was born in Germany.","Although Zoad is a Bangladeshi, he was born in Germany.",0.7779899438154095
Kanshi ekufwaya kwacalo ca Bangladesh ukubwekela kubuteko bwaliko kale.,So Bangladesh wants to go back to the previous state.,0.7734951048967734
Tahmid atemwa ifitabo ukucila amasambililo ya science.,Tahmid prefers literature to science.,0.788288900779304
Bangladesh Bank yafumya ifunde lya musango uyu mailo.,Bangladesh Bank issued this order yesterday.,0.8084700854133702
Ishina lyobe ni Tahmid.,Your name is Tahmid.,0.941387536775132
Bushe bakafundisha finshi bakacita uno mwaka?,What will teacher do this year?,0.8969779843976886
Icipatala ca Parkway nacikwata ama ofeshi mu musumba wa Dhaka na Chittagong mu caalo ca Bangladesh.,"Parkway Hospital has offices in Dhaka and Chittagong, Bangladesh.",0.8019547252627087
Yidir na Tiziri bekala mu musumba wa Bejaia mu caalo Algeria.,"Yidir and Tiziri live in Bejaia, Algeria.",0.8802017190071274
Bushe ici icibombelo cibomba shani?,How does this device work?,0.8453052019320733
Bushe ninshi alefwaya ukushitisha?,Why does he want to sell it?,0.8216854899654349
Mary na Tom bali nensansa capamo.,Mary and Tom experienced happy times together.,0.7958551653562864
Tom alesambilisha icingeleshi.,Tom is teaching English.,0.7839897191711862
Alenwa amakafi ya lucelo.,He drank his morning coffee.,0.7937383374899726
Ayşe muntu waku Turkey.,Ayşe is a Turkish citizen.,0.8018568363735702
Uyu emuku wakubalilapo napokelela icola icifuma ku calo cimbi.,This is the first time I've ever received a parcel from abroad.,0.7849089933174916
Bushe naubamona ubunkolanya bwa pa Netflix?,Have you seen the Netflix series?,0.8545104368639244
Bushe nikwisa umulumendo uyu ashitilishe icimbayambaya cakwe?,Where has he parked his truck?,0.7742508401614485
Ndetumina na Marika mupepi na lyonse.,I call Marika almost every day.,0.8033917986721378
Tom alebelenga icitabo.,Tom is reading a novel.,0.7953685784124228
Bushe cishinka ukwikata scorpion?,Is it true that you caught a scorpion?,0.8216944036952409
Mulandu nshi alemupelele ishina lyandi?,Why did she give him my name?,0.8122006913692512
Bushe ni kwisa baciya uyu mwaka wafumineko?,Where did Yidir go last summer?,0.7896317192907025
Tiziri ekala mu calo ca United Kingdom.,Tiziri lives in the United Kingdom.,0.8477915918345583
Bushe iyi motoka bakushitiile kubani?,Who sold you this car?,0.7957138640782249
Bushe cishinka ati wacitila taninna pakati kabushiku?,Is it true that you called Taninna in the middle of the night?,0.8666360609215316
Bushe ishina lyobe balemba shani?,How is your name spelt?,0.9218281299036384
Mulandu nshi alandiile na Yidir?,Why did she talk to Yidir?,0.8371647658485446
Fumya na ululimi panse.,Get your tongue out.,0.7747550661431021
Bushe ninshi asalile Yidir?,Why did she pick Yidir?,0.800911196889502
Bushe naumona filimu The Invisible Guardian?,"Have you seen the movie ""The Invisible Guardian""?",0.8190797217007172
Bushe ni kwisa kalile ubushiku bwafumineko?,Where did she eat last night?,0.7915406552480211
Tom aletoola amaluba.,Tom is picking flowers.,0.8177718649349759
Bushe ni kwisa asambilile mailo?,Where did she study yesterday?,0.8428323459646206
naumfwa ulunshingwa,I am feeling dizzy.,0.8102767148253185
Bushe ninshi alefwaya ukuya ku Russia?,Why does she want to go to Russia?,0.8429071768846503
Bushe washita shani motoka yobe iyi?,How did you buy your car?,0.791205586612048
Bushe ni kwisa asambilile icipingo ca Tightamaz?,Where did she study Tamazight?,0.783173489185724
Aba bakashi ba Yidir.,This is Yidir's wife.,0.8416276896179529
Aba kabile bantu baku Algeria.,Kabyles are Algerian.,0.8261196750062927
Bushe icitabo candi abikile kwisa?,Where did she put my book?,0.8968718177526479
Naibukisha na ulwimbo lwacalo.,I am memorizing the national anthem.,0.8354057587761549
Bushe alikwisa uko ashitile amaluba?,Where did she buy the flowers?,0.7758907928875506
Ba Martin Luther King balibepaya mu 1963.,Martin Luther King was assassinated in 1963.,0.8123329002856655
Bushe ulefwaya ukubelenga ku Germany?,Do you want to study in Germany?,0.83471572391406
Tom abomba panono panono.,Tom works slowly.,0.8593222102170961
Ahmed wa mutundu wa Cimwenye.,Ahmed is an Indian citizen.,0.7703290544940034
Mulaipusha abena mwenenu pacitemwiko.,You ask your husbands about love.,0.8509872119036692
Nacilanwafye amabotolo yabili aya bwalwa.,I drank only two bottles of beer.,0.7712323221982079
mwati walipepapo fwaka?,Have you ever smoked?,0.7727401072945724
Bushe ninshi alefwaila incinga shibili?,Why does he need two bicycles?,0.8333582380056667
mwati waliyapo ku milimo pa sondo?,Have you ever gone to work on Sunday?,0.8502204514246313
Sami ekala ku Djibouti.,Sami lives in Djibouti.,0.7870022741269193
Pwipifya ifyo ulelemba.,Shorten your text.,0.8044647512583611
"""May God be with you."" Ameni.","""May God be with you."" ""Amen.""",0.7873893332702737
Umwaka wafumineko nabelenga ifitabo ifingi saana.,"Last year, he read a lot of books.",0.8028362631926018
Tom alepilibula panono panono.,Tom translates slowly.,0.7943163745543157
